SIGNAL_SCORE_THRESHOLD,SPRING_DROP_PCT,SPRING_BOUNCE_PCT,VOLUME_MULTIPLIER,STOP_LOSS_PCT,total_trades,win_rate,profit_factor,max_drawdown,final_capital,total_return_pct,max_loss_streak
55,0.004,0.003,1.5,0.003,167,0.2335,0.9258,0.2827,9066.25,-9.34,20
55,0.004,0.003,1.5,0.005,167,0.2455,0.9856,0.2907,9814.23,-1.86,27
55,0.004,0.003,1.5,0.007,167,0.2635,1.0153,0.2988,10202.21,2.02,23
55,0.004,0.003,1.8,0.003,167,0.2335,0.9258,0.2827,9066.25,-9.34,20
55,0.004,0.003,1.8,0.005,167,0.2455,0.9856,0.2907,9814.23,-1.86,27
55,0.004,0.003,1.8,0.007,167,0.2635,1.0153,0.2988,10202.21,2.02,23
55,0.004,0.003,2.0,0.003,167,0.2335,0.9258,0.2827,9066.25,-9.34,20
55,0.004,0.003,2.0,0.005,167,0.2455,0.9856,0.2907,9814.23,-1.86,27
55,0.004,0.003,2.0,0.007,167,0.2635,1.0153,0.2988,10202.21,2.02,23
55,0.005,0.0015,1.3,0.003,134,0.2761,1.1342,0.1675,11370.25,13.7,16
55,0.005,0.0015,1.3,0.005,134,0.2687,1.0891,0.1998,10912.79,9.13,20
55,0.005,0.0015,1.3,0.007,134,0.2761,1.0945,0.1993,10987.81,9.88,16
55,0.005,0.0015,1.5,0.003,134,0.2761,1.1342,0.1675,11370.25,13.7,16
55,0.005,0.0015,1.5,0.005,134,0.2687,1.0891,0.1998,10912.79,9.13,20
55,0.005,0.0015,1.5,0.007,134,0.2761,1.0945,0.1993,10987.81,9.88,16
55,0.005,0.0015,1.8,0.003,134,0.2761,1.1342,0.1675,11370.25,13.7,16
55,0.005,0.0015,1.8,0.005,134,0.2687,1.0891,0.1998,10912.79,9.13,20
55,0.005,0.0015,1.8,0.007,134,0.2761,1.0945,0.1993,10987.81,9.88,16
55,0.005,0.0015,2.0,0.003,134,0.2761,1.1342,0.1675,11370.25,13.7,16
55,0.005,0.0015,2.0,0.005,134,0.2687,1.0891,0.1998,10912.79,9.13,20
55,0.005,0.0015,2.0,0.007,134,0.2761,1.0945,0.1993,10987.81,9.88,16
55,0.005,0.002,1.3,0.003,116,0.2586,1.0374,0.1748,10325.76,3.26,17
55,0.005,0.002,1.3,0.005,116,0.2759,1.143,0.1748,11264.6,12.65,17
55,0.005,0.002,1.3,0.007,116,0.2759,1.0848,0.1748,10752.98,7.53,13
55,0.005,0.002,1.5,0.003,116,0.2586,1.0374,0.1748,10325.76,3.26,17
55,0.005,0.002,1.5,0.005,116,0.2759,1.143,0.1748,11264.6,12.65,17
55,0.005,0.002,1.5,0.007,116,0.2759,1.0848,0.1748,10752.98,7.53,13
55,0.005,0.002,1.8,0.003,116,0.2586,1.0374,0.1748,10325.76,3.26,17
55,0.005,0.002,1.8,0.005,116,0.2759,1.143,0.1748,11264.6,12.65,17
55,0.005,0.002,1.8,0.007,116,0.2759,1.0848,0.1748,10752.98,7.53,13
55,0.005,0.002,2.0,0.003,116,0.2586,1.0374,0.1748,10325.76,3.26,17
55,0.005,0.002,2.0,0.005,116,0.2759,1.143,0.1748,11264.6,12.65,17
55,0.005,0.002,2.0,0.007,116,0.2759,1.0848,0.1748,10752.98,7.53,13
55,0.005,0.0025,1.3,0.003,101,0.2475,0.9536,0.2003,9646.07,-3.54,22
55,0.005,0.0025,1.3,0.005,101,0.2574,1.0483,0.1826,10369.05,3.69,16
55,0.005,0.0025,1.3,0.007,101,0.2475,0.934,0.1826,9502.71,-4.97,16
55,0.005,0.0025,1.5,0.003,101,0.2475,0.9536,0.2003,9646.07,-3.54,22
55,0.005,0.0025,1.5,0.005,101,0.2574,1.0483,0.1826,10369.05,3.69,16
55,0.005,0.0025,1.5,0.007,101,0.2475,0.934,0.1826,9502.71,-4.97,16
55,0.005,0.0025,1.8,0.003,101,0.2475,0.9536,0.2003,9646.07,-3.54,22
55,0.005,0.0025,1.8,0.005,101,0.2574,1.0483,0.1826,10369.05,3.69,16
55,0.005,0.0025,1.8,0.007,101,0.2475,0.934,0.1826,9502.71,-4.97,16
55,0.005,0.0025,2.0,0.003,101,0.2475,0.9536,0.2003,9646.07,-3.54,22
55,0.005,0.0025,2.0,0.005,101,0.2574,1.0483,0.1826,10369.05,3.69,16
55,0.005,0.0025,2.0,0.007,101,0.2475,0.934,0.1826,9502.71,-4.97,16
55,0.005,0.003,1.3,0.003,90,0.2778,1.1111,0.1655,10773.66,7.74,18
55,0.005,0.003,1.3,0.005,90,0.2889,1.2276,0.149,11581.16,15.81,13
55,0.005,0.003,1.3,0.007,90,0.2667,1.0298,0.149,10201.37,2.01,13
55,0.005,0.003,1.5,0.003,90,0.2778,1.1111,0.1655,10773.66,7.74,18
55,0.005,0.003,1.5,0.005,90,0.2889,1.2276,0.149,11581.16,15.81,13
55,0.005,0.003,1.5,0.007,90,0.2667,1.0298,0.149,10201.37,2.01,13
55,0.005,0.003,1.8,0.003,90,0.2778,1.1111,0.1655,10773.66,7.74,18
55,0.005,0.003,1.8,0.005,90,0.2889,1.2276,0.149,11581.16,15.81,13
55,0.005,0.003,1.8,0.007,90,0.2667,1.0298,0.149,10201.37,2.01,13
55,0.005,0.003,2.0,0.003,90,0.2778,1.1111,0.1655,10773.66,7.74,18
55,0.005,0.003,2.0,0.005,90,0.2889,1.2276,0.149,11581.16,15.81,13
55,0.005,0.003,2.0,0.007,90,0.2667,1.0298,0.149,10201.37,2.01,13
60,0.002,0.0015,1.3,0.003,506,0.2787,1.1219,0.3563,16911.7,69.12,25
60,0.002,0.0015,1.3,0.005,506,0.2589,1.0179,0.4512,10854.82,8.55,35
60,0.002,0.0015,1.3,0.007,506,0.3024,1.1479,0.3447,17908.51,79.09,37
60,0.002,0.0015,1.5,0.003,506,0.2787,1.1219,0.3563,16911.7,69.12,25
60,0.002,0.0015,1.5,0.005,506,0.2589,1.0179,0.4512,10854.82,8.55,35
60,0.002,0.0015,1.5,0.007,506,0.3024,1.1479,0.3447,17908.51,79.09,37
60,0.002,0.0015,1.8,0.003,506,0.2787,1.1219,0.3563,16911.7,69.12,25
60,0.002,0.0015,1.8,0.005,506,0.2589,1.0179,0.4512,10854.82,8.55,35
60,0.002,0.0015,1.8,0.007,506,0.3024,1.1479,0.3447,17908.51,79.09,37
60,0.002,0.0015,2.0,0.003,506,0.2787,1.1219,0.3563,16911.7,69.12,25
60,0.002,0.0015,2.0,0.005,506,0.2589,1.0179,0.4512,10854.82,8.55,35
60,0.002,0.0015,2.0,0.007,506,0.3024,1.1479,0.3447,17908.51,79.09,37
60,0.002,0.002,1.3,0.003,452,0.2699,1.0897,0.2882,13710.34,37.1,24
